"","DraftIndex","Pk","Tm","Player","College","Yrs","G","MP...8","PTS...9","TRB...10","AST...11","FG%","3P%","FT%","MP...15","PTS...16","TRB...17","AST...18","WS","WS/48","BPM","VORP","LBPY","PickLBPY","YearLBPY","DraftLBPY"
"205",4,25,"UTA","Morris Almond","Rice University","3",38,361,119,46,12,0.381,0.292,0.743,9.5,3.1,1.2,0.3,0,0.005,-6.1,-0.4,-0.06,0.723103356388529,0.373131119423175,1.0962344758117
"206",4,26,"HOU","Aaron Brooks","Oregon","10",645,13439,6259,1079,1925,0.413,0.37,0.837,20.8,9.7,1.7,3,19.2,0.069,-1.2,2.7,-1.5275,-0.507574008569318,-0.669567139154567,-1.17714114772389
"207",4,27,"DET","Arron Afflalo","UCLA","11",762,20829,8198,2176,1386,0.45,0.386,0.825,27.3,10.8,2.9,1.8,33.5,0.077,-1.5,2.4,-2.00888888888889,-0.866972065429494,-1.01160690483983,-1.87857897026932
"208",4,28,"SAS","Tiago Splitter",NA,"7",355,6812,2816,1779,423,0.555,0.143,0.697,19.2,7.9,5,1.2,25.3,0.178,1.1,5.4,0.761428571428572,1.78084881297728,0.956778234226974,2.73762704720425
"209",4,29,"PHO","Alando Tucker","Wisconsin","3",51,426,211,49,16,0.423,0.294,0.783,8.4,4.1,1,0.3,0.4,0.045,-4.5,-0.3,-1.14,-0.0710950146892408,-0.394237956736253,-0.465332971425494
"210",4,30,"PHI","Petteri Koponen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",4,31,"OKC","Carl Landry","Purdue","9",513,11524,5541,2533,355,0.535,0.3,0.785,22.5,10.8,4.9,0.7,35.9,0.149,-0.3,5,-1.10285714285714,0.223724609821944,-0.367846956762516,-0.144122346940573
"212",4,32,"BOS","Gabe Pruitt","USC","2",62,461,125,51,52,0.321,0.283,0.783,7.4,2,0.8,0.8,0.4,0.043,-2.8,-0.1,NA,NA,NA,NA
"213",4,33,"SAS","Marcus Williams","Arizona","2",13,39,14,12,3,0.318,NA,NA,3,1.1,0.9,0.2,-0.1,-0.084,-5.4,0,-1.47,0,0,0
"214",4,34,"DAL","Nick Fazekas","Nevada","1",26,269,107,89,11,0.561,0,0.682,10.3,4.1,3.4,0.4,0.8,0.148,0.5,0.2,NA,NA,NA,NA
"215",4,35,"OKC","Glen Davis","LSU","8",514,10865,4111,2236,457,0.447,0.182,0.7,21.1,8,4.4,0.9,18.6,0.082,-2.6,-1.7,-1.33666666666667,-0.476030062718524,-0.533974918135656,-1.01000498085418
"216",4,36,"GSW","Jermareo Davidson","Alabama","2",52,433,162,96,14,0.425,NA,0.578,8.3,3.1,1.8,0.3,0,0,-5.2,-0.3,NA,NA,NA,NA
"217",4,37,"POR","Josh McRoberts","Duke","11",433,8271,2333,1686,901,0.463,0.34,0.705,19.1,5.4,3.9,2.1,18.5,0.107,0.3,4.7,-0.64,0.803576978812152,-0.0389744955513327,0.764602483260819
"218",4,38,"PHI","Kyrylo Fesenko",NA,"5",135,1107,305,269,40,0.496,0,0.41,8.2,2.3,2,0.3,0.9,0.038,-5.7,-1.1,-1.37333333333333,-0.284087016966579,-0.560027571955883,-0.844114588922463
"219",4,39,"MIA","Stanko Barac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",4,40,"LAL","Sun Yue",NA,"1",10,28,6,0,2,0.273,0,NA,2.8,0.6,0,0.2,-0.1,-0.226,-19.4,-0.1,NA,NA,NA,NA
"221",4,41,"MIN","Chris Richard","Florida","2",70,780,135,194,25,0.483,NA,0.605,11.1,1.9,2.8,0.4,0.7,0.045,-5.7,-0.7,-1.58,-0.350768711350877,-0.706869802578984,-1.05763851392986
